กฟฟ.,ทะเบียน,จว.,รหัส,ยี่ห้อ,ลักษณะ/พิกัด,เลขเครื่อง,รุ่น/เลขชัชซี่,วันจดทะเบียน,อายุ,ประกันภัย,เชื้อเพลิง
กฟต.1,81-1373 ,พบ.  ,ต.1-09-0376,MITSUBISHI          ,กระเช้าฮอทไลน์ 22-33 KV                           ,6D16-NA0094,MMTFK457MYC000194 / FK457HSRGDH3,29/1/2546,14,ป.3,ดีเชล
กฟต.1,81-1464 ,พบ.  ,ต.1-04-0401,ISUZU               ,บรรทุก 6 ตัน                                      ,DA120-820408,1655187,18/12/2518,42,ป.3,ดีเชล
กฟต.1,81-1806 ,พบ.  ,ต.1-04-5163,HINO                ,บรรทุกเฉพาะกิจ(มีเครื่องกำเนิด) 500 กว.           ,J08C-TS13658,FM1JNPD-10397,16/9/2547,13,ป.3/บ.1,ดีเชล
กฟต.1,81-2037 ,พบ.  ,ต.1-04-5173,MITSUBISHI          ,บรรทุกเฉพาะกิจ(มีเครื่องกำเนิด) 300 กว.           ,6D16-RA0263,MMTFK457PYC000363 /FK457MSRGDH3,1/12/2547,13,ป.3/บ.1,ดีเชล
กฟต.1,81-2376 ,พบ.  ,ต.1-04-1834,ISUZU               ,บรรทุก 6 ตัน                                      ,6BD1-367824,1697957 / TXD55HC,8/12/2526,34,ป.3,ดีเชล
กฟต.1,81-2379 ,พบ.  ,ต.1-04-2138,ISUZU               ,กระบะบรรทุก 2 ตัน                                 ,4BD1-414695,TLD24-0296709 /TLD24,12/4/2527,33,ป.3,ดีเชล
กฟต.1,81-2380 ,พบ.  ,ต.1-06-0007,NISSAN              ,หัวลาก                                            ,R08-032952,TW50H-06773,8/4/2539,21,ป.3/บ.1,ดีเชล
กฟต.1,81-2381 ,พบ.  ,ต.1-06-0000,ISUZU               ,เทรลเลอร์                                         ,,00037-36,15/9/2538,22,ป.3/บ.1,ดีเชล
กฟต.1,81-2616 ,พบ.  ,ต.1-04-1912,ISUZU               ,บรรทุก 6 ตัน                                      ,6BD1-365729,TXD55-1697396 / TXD55,21/12/2526,34,ป.3,ดีเชล
กฟต.1,81-3595 ,พบ.  ,ต.1-04-1982,ISUZU               ,บรรทุก 6 ตัน                                      ,6BD1-367226,1697787 / TXD55HC,26/12/2526,34,ป.3,ดีเชล
กฟต.1,81-3634 ,พบ.  ,ต.1-04-2861,ISUZU               ,บรรทุกเฉพาะกิจ(มีเครื่องกำเนิด) 500 กว.           ,6BG1-848633,FVM12YK-3604225 / FVM12MYK,2/4/2536,24,ป.3/บ.1,ดีเชล
กฟต.1,81-4008 ,พบ.  ,ต.1-04-5773,ISUZU               ,รถพ่วงฉีดน้ำ                                      ,,1.20E+16,29/3/2534,26,ป.3,ดีเชล
กฟต.1,81-4112 ,พบ.  ,ต.1-04-5809,HINO                ,บรรทุกเฉพาะกิจ(แก้ไฟ) 2 ตัน                       ,N04C-TR13095,MNKAH04H804001304 / XZU303R-HBMLAT3,14/2/2554,6,ป.3,ดีเชล
กฟต.1,81-4214 ,พบ.  ,ต.1-09-0698,MITSUBISHI          ,กระเช้าฮอทไลน์ 22-33 KV                           ,6M60-138945,MMGFM65H15C000569 / FM65FH1RDH1,28/7/2554,6,ป.3,ดีเชล
กฟต.1,81-4777 ,พบ.  ,ต.1-07-0450,ISUZU               ,รถพ่วงฉีดน้ำ                                      ,,TENS006-2555 /1WT3500,28/3/2556,4,ป.3,ดีเชล
กฟต.1,81-4927 ,พบ.  ,ต.1-07-0001,NISSAN              ,เทรลเลอร์                                         ,,8327 / สีส้ม,11/5/2527,33,ป.3,ดีเชล
กฟต.1,81-4928 ,พบ.  ,ต.1-04-1629,ISUZU               ,บรรทุกเฉพาะกิจ(บริการ)                            ,619565,295447,16/8/2526,34,ป.3,ดีเชล
กฟต.1,81-4932 ,พบ.  ,ต.1-06-0039,NISSAN              ,หัวลาก                                            ,ND6-040019,UG780-32910 / สีส้ม,25/4/2527,33,ป.3,ดีเชล
กฟต.1,81-5106 ,พบ.  ,ต.1-04-6167,ISUZU               ,เครนพับ                                           ,6HK1-638210,MP1FTR34LAT001665 / FTR34LZl,21/10/2556,4,ป.3,ดีเชล
กฟต.1,81-5108 ,พบ.  ,ต.1-04-6165,ISUZU               ,เครนพับ                                           ,6HK1-638208,MP1FTR34LAT001663 / FTR 34 LZL,21/10/2556,4,ป.3,ดีเชล
กฟต.1,81-5227 ,พบ.  ,ต.1-01-6297,ISUZU               ,บรรทุกเฉพาะกิจ(มีเครื่องกำเนิด) 120 กว.           ,4HK1-127945,MP1NPR75HDT104866 /NPR75HXXXQ,26/3/2557,3,ป.3,ดีเชล
กฟต.1,81-5511 ,พบ.  ,ต.1-04-6329,HINO                ,กระบะบรรทุก 2 ตัน                                 ,NO4C-VBH14148,MNKACL1H602001575 /XZU600R-HKMQLT3,18/8/2557,3,ป.3,ดีเชล
กฟต.1,81-5903 ,พบ.  ,ต.1-04-6586,ISUZU               ,กระบะบรรทุก 2 ตัน                                 ,4JJ1-NU1004,MP1NMR85EFT101897 / NMR85EXXXS,2/2/2559,1,,ดีเชล
กฟต.1,81-5904 ,พบ.  ,ต.1-04-6585,ISUZU               ,กระบะบรรทุก 2 ตัน                                 ,4JJ1-NU1932,MP1NMR85EFT101929 / NMR85EXXXS,2/2/2559,1,,ดีเชล
กฟต.1,81-5905 ,พบ.  ,ต.1-04-6587,ISUZU               ,กระบะบรรทุก 2 ตัน                                 ,4JJ1-NU1003,MP1NMR85EFT101896 / NMR85EXXXS,2/2/2559,1,,ดีเชล
กฟต.1,81-5906 ,พบ.  ,ต.1-01-6589,ISUZU               ,กระบะบรรทุก 2 ตัน                                 ,4JJ1-NU1278,MP1NMR85EFT101901 /NMR85EXXXS,2/2/2559,1,,ดีเชล
กฟต.1,81-5909 ,พบ.  ,ต.1-04-6584,ISUZU               ,กระบะบรรทุก 2 ตัน                                 ,4JJ1-NU1285,MP1NMR85EFT101923 / NMR85EXXXS,2/2/2559,1,,ดีเชล
กฟต.1,81-6083 ,พบ.  ,ต.1-04-6756,MITSUBISHI          ,บรรทุกของเหลว                                     ,6M60-207522,MMJFN62M15C002506 / FN62FM1RDH1,14/7/2559,1,,ดีเชล
กฟต.1,81-6226 ,พบ.  ,ต.1-09-0791,SCANIA              ,ขุดเจาะ                                           ,DC13108W016932239,YS2P40005419914 / P360CB4X4HHZ,28/9/2559,1,,ดีเชล
กฟต.1,81-6227 ,พบ.  ,ต.1-09-0792,SCANIA              ,ขุดเจาะ                                           ,DC13108W016932243,YS2P40005419915 / P360CB4X4HHZ,28/9/2559,1,,ดีเชล
กฟต.1,ก 6312  ,พบ.  ,ต.1-01-0711,ISUZU               ,ตรวจการ                                           ,4JA1 D42798,TFR54GY A-7515615 / TFR54GY,18/1/2538,22,,ดีเชล
กฟต.1,กก 5971 ,พบ.  ,ต.1-01-0645,NISSAN              ,กระบะบรรทุก 1 ตัน 4 ประตู                         ,Z16-704380X,CGD21-040908 /ค.ศ.1994,27/9/2537,23,ป.3,เบนชิล
กฟต.1,กก-5839 ,พบ.  ,ต.1-01-0582,NISSAN              ,เก๋งสองตอน                                        ,GA16-641430B,BEAB13-B29417 / SENTRA,27/7/2537,23,,เบนชิล อื่น ๆ
กฟต.1,กข 2507 ,พบ.  ,ต.1-01-1091,MITSUBISHI          ,กระบะบรรทุก 1 ตัน 4 ประตูมีหลังคาครอบ             ,4D56TNAA-5632,MMTONK64FWA-001608,4/3/2542,18,ป.3,ดีเชล
กฟต.1,กข 6233 ,พบ.  ,ต.1-01-1129,FORD                ,กระบะบรรทุก 1 ตัน 4 ประตูมีหลังคาครอบ             ,WLAT263787,MNBBSF0301W198227 / WM20RAA,8/1/2545,15,ป.3,ดีเชล
กฟต.1,กข 8357 ,พบ.  ,ต.1-01-1156,FORD                ,กระบะบรรทุก 1 ตัน 4 ประตูมีหลังคาครอบ             ,WLAT399661,MNBBSFD303W342389,3/9/2546,14,ป.3,ดีเชล
กฟต.1,กข 9542 ,พบ.  ,ต.1-01-1319,FORD                ,กระบะบรรทุก 1 ตัน 4 ประตูมีหลังคาครอบ             ,WLAT434995,MNBBSFD303W363872 / FORD RANGER,21/2/2547,13,ป.3,ดีเชล
กฟต.1,กข-8618 ,พบ.  ,ต.1-01-1155,FORD                ,กระบะบรรทุก 1 ตัน 4 ประตูมีหลังคาครอบ             ,WLAT-400391,MNBBSFD303W342830,3/9/2546,14,ป.3,ดีเชล
กฟต.1,กค 3671 ,พบ.  ,ต.1-01-1830,ISUZU               ,กระบะบรรทุก 1 ตัน 4 ประตูมีหลังคาครอบ             ,4JK1DP5152,MP1TFR86H6T137257 /ค.ศ.2005,22/3/2549,11,ป.3,ดีเชล
กฟต.1,กค 3674 ,พบ.  ,ต.1-01-1832,ISUZU               ,กระบะบรรทุก 1 ตัน 4 ประตูมีหลังคาครอบ             ,4JK1DP5144,MP1TFR86H6T137244 / TFR86HDM3G,22/3/2549,11,ป.3,ดีเชล
