กฟฟ.,ทะเบียน,จว.,รหัส,ยี่ห้อ,ลักษณะ/พิกัด,เลขเครื่อง,รุ่น/เลขชัชซี่,วันจดทะเบียน,อายุ,ประกันภัย,เชื้อเพลิง
กฟจ.พบ,80-7170 ,พบ.  ,ต.1-04-2544,ISUZU               ,บรรทุกเฉพาะกิจ(บริการ)                            ,4JB1-446601,NKR55EU1-7901238 /NKR55EU1,14/12/2533,27,ป.3,ดีเชล
กฟจ.พบ,80-7604 ,พบ.  ,ต.1-04-2583,ISUZU               ,บรรทุก 6 ตัน                                      ,6BD1-722955,HTR114-3902302 / HTR114,1/10/2534,26,ป.3,ดีเชล
กฟจ.พบ,80-8018 ,พบ.  ,ต.1-04-2883,ISUZU               ,เครนพับ                                           ,6BD1-497602,HTR114J-3002659 / HTR114,12/5/2536,24,,ดีเชล
กฟจ.พบ,80-9227 ,พบ.  ,ต.1-04-3859,ISUZU               ,บรรทุก 4 ตัน/ฮอทไลน์                              ,4HF1-305602,NPR66LX5S-7102565,3/10/2538,22,ป.3,ดีเชล
กฟจ.พบ,80-9761 ,พบ.  ,ต.1-09-0228,MITSUBISHI          ,ขุดเจาะ                                           ,6D14-TD0746,FK455F-TD0746 / FK455F,20/9/2537,23,,ดีเชล
กฟจ.พบ,81-2146 ,พบ.  ,ต.1-09-0490,ISUZU               ,กระเช้าแก้ไฟ                                      ,4HG1-136249,NPR71PY52A3-7103321 / NPR71PY52A,1/3/2548,12,,ดีเชล
กฟจ.พบ,81-2537 ,พบ.  ,ต.1-09-0584,INTER               ,กระเช้าฮอทไลน์ 22-33 KV                           ,470HM2U1214737,YH301559,27/4/2549,11,,ดีเชล
กฟจ.พบ,81-2834 ,พบ.  ,ต.1-09-0617,MITSUBISHI          ,เครนพับ                                           ,6D16-NA1277,MMTFK457MYC001377 / FK457HSRGDH3,28/9/2550,10,,ดีเชล
กฟจ.พบ,81-4848 ,พบ.  ,ต.1-04-5759,HINO                ,บรรทุกเฉพาะกิจ(แก้ไฟ) 2 ตัน                       ,N04C-TR12887,MNKAH04H704001214 / XZU303R-HBMLAT3,14/2/2554,6,,ดีเชล
กฟจ.พบ,81-5900 ,พบ.  ,ต.1-04-6591,ISUZU               ,กระบะบรรทุก 2 ตัน                                 ,4JJ1-NU0999,MP1NMR85EFT101892 /NMR85EXXXS,2/1/2559,1,,ดีเชล
กฟจ.พบ,กข 2506 ,พบ.  ,ต.1-01-1090,MITSUBISHI          ,กระบะบรรทุก 1 ตัน 4 ประตู                         ,4D56NAA5636,MMTONK64FWA001602 /K64TENMRU,4/3/2542,18,ป.3,ดีเชล
กฟจ.พบ,กค 6267 ,พบ.  ,ต.1-01-2007,FORD                ,กระบะบรรทุก 1 ตัน 4 ประตูมีหลังคาครอบ             ,WLAT-779464,MNBBSFD207W637453 / FORD RANGER,29/5/2550,10,ป.3,ดีเชล
กฟจ.พบ,กค-3676 ,พบ.  ,ต.1-01-1831,ISUZU               ,กระบะบรรทุก 1 ตัน 4 ประตูมีหลังคาครอบ             ,4JK1DP5161,MP1TFR86H6T137264 /TFR86HDM3G (S),22/3/2549,11,,ดีเชล
กฟจ.พบ,น-9721  ,พบ.  ,ต.1-03-0532,DATSAN              ,กระบะบรรทุก 1 ตัน 4 ประตู                         ,Z216-013016W,C720-C36136,2/1/2528,32,ป.3,ดีเชล
กฟจ.พบ,บ-9158  ,พบ.  ,ต.1-03-0693,MITSUBISHI          ,กระบะบรรทุก 1 ตัน 2 ประตู                         ,4D56T-AG3430,K14XDL-63424,25/6/2536,24,ป.3,ดีเชล
กฟจ.พบ,บบ-9288 ,พบ.  ,ต.1-04-4472,TOYOTA              ,กระบะบรรทุก 2 ตัน                                 ,14B-1583068,BU101-9501485,11/12/2541,19,,ดีเชล
กฟจ.พบ,บบ-9306 ,พบ.  ,ต.1-04-3514,ISUZU               ,กระบะบรรทุก 2 ตัน                                 ,4JB1-922395,NKR55EU1M-7146839 / NKR55EU1,18/10/2537,23,ป.3,ดีเชล
กฟจ.พบ,บพ-1861 ,พบ.  ,ต.1-04-5377,ISUZU               ,บรรทุกเฉพาะกิจ(แก้ไฟ) 2 ตัน                       ,4JB1-609454,NKR55E12E5-7111132 / NKR55E12E,22/4/2552,8,ป.3,ดีเชล
กฟจ.พบ,บพ-413  ,พบ.  ,ต.1-04-5718,ISUZU               ,กระบะบรรทุก 2 ตัน                                 ,4JJ1943010,MP1NLR85E 9T103525 /NLR85E1GAH,10/1/2554,6,ป.3,ดีเชล
กฟจ.พบ,บพ-838  ,พบ.  ,ต.1-04-6132,ISUZU               ,กระบะบรรทุก 2 ตัน                                 ,4JJ1-KH5540,MP1NLR85ECT101331 / NLR85E1AH,17/5/2556,4,,ดีเชล
กฟจ.พบ,บพ-881  ,พบ.  ,ต.1-04-2649,ISUZU               ,กระบะบรรทุก 2 ตัน                                 ,4JB1-581476,NKR55EU1M-7105169 / NKR55EU1W/SB,27/5/2535,25,ป.3,ดีเชล
กฟจ.พบ,บพ-902  ,พบ.  ,ต.1-04-0589,NISSAN              ,กระบะบรรทุก 2 ตัน                                 ,4JB1-314554,QC340-A-02438,3/10/2520,40,ป.3,ดีเชล
กฟจ.พบ,ป-4364  ,พบ.  ,ต.1-03-0860,TOYOTA              ,กระบะบรรทุก 1 ตัน 4 ประตู                         ,2Y-8006474,YN85-7002136 / YN85-TRMRST,7/12/2537,23,ป.3,เบนชิล
,,,,,,,,,,,
กฟส.บ้านแหลม,80-5583 ,พบ.  ,ต.1-04-1656,ISUZU               ,บรรทุกเฉพาะกิจ(บริการ)                            ,4BA1-618516,291485,16/8/2526,34,ป.3,ดีเชล
กฟส.บ้านแหลม,81-0284 ,พบ.  ,ต.1-09-0117,NISSAN              ,เครนแข็ง                                          ,FD6-028017,CM80E-26964 / CM80E,9/5/2527,33,,ดีเชล
กฟส.บ้านแหลม,81-0347 ,พบ.  ,ต.1-04-0794,HINO                ,บรรทุก 6 ตัน                                      ,100965,KL340-58721,25/3/2534,26,ป.3,ดีเชล
กฟส.บ้านแหลม,81-3235 ,พบ.  ,ต.1-04-5282,HINO                ,บรรทุกเฉพาะกิจ(แก้ไฟ) 2 ตัน                       ,N04C-TR10576,MNKAH04H104000415 / XZU303R-HBMLAT3,15/8/2551,9,ป.3,ดีเชล
กฟส.บ้านแหลม,81-4765 ,พบ.  ,ต.1-04-1270,HINO                ,บรรทุก 6 ตัน                                      ,EH100-90048,KR320-15240,13/3/2524,36,ป.3,ดีเชล
กฟส.บ้านแหลม,81-5309 ,พบ.  ,ต.1-04-6161,ISUZU               ,เครนพับ                                           ,6HK1-638220,MP1FTR34LAT001659 /FTR34LZL,21/10/2556,4,,ดีเชล
กฟส.บ้านแหลม,กค-685  ,พบ.  ,ต.1-01-1453,FORD                ,กระบะบรรทุก 1 ตัน 4 ประตูมีหลังคาครอบ             ,WLAT442192,MNBBSFD304W367958 /RANGER,23/4/2547,13,ป.3,ดีเชล
กฟส.บ้านแหลม,ช-4157  ,พบ.  ,ต.1-20-1547,SUZUKI              ,จักรยานยนต์                                       ,E104-TH854999,BE11B-TH854999 / RC100,1/4/2554,6,,เบนชิล
กฟส.บ้านแหลม,ช-6565  ,พบ.  ,ต.1-20-2342,SUZUKI              ,จักรยานยนต์                                       ,E104-TH896227,BE11B-TH896227 /RC100,3/9/2536,24,,เบนชิล
กฟส.บ้านแหลม,ช-6729  ,พบ.  ,ต.1-20-2347,SUZUKI              ,จักรยานยนต์                                       ,E104-TH896262,BE11B-TH896262 / RC100,10/9/2536,24,,เบนชิล
กฟส.บ้านแหลม,ต1-0004 ,พบ.  ,ต.1-30-0004,ISUZU               ,เรือหางยาว                                        ,4DR5166903,,27/2/2556,4,,ดีเชล
กฟส.บ้านแหลม,บบ-9491 ,พบ.  ,ต.1-04-0898,ISUZU               ,กระบะบรรทุก 2 ตัน                                 ,192908,9911078,22/4/2522,38,ป.3,ดีเชล
กฟส.บ้านแหลม,บพ-2101 ,พบ.  ,ต.1-04-4054,ISUZU               ,กระบะบรรทุก 2 ตัน                                 ,4JB1-317190,NKR55EX1T-7101941,4/4/2540,20,ป.3,ดีเชล
กฟส.บ้านแหลม,ผ-1028  ,พบ.  ,ต.1-03-1047,NISSAN              ,กระบะบรรทุก 1 ตัน 2 ประตู                         ,Z20-T04982,FGD21-F27078 / FGD21SFX% DXA,25/9/2539,21,ป.3,เบนชิล
,,,,,,,,,,,
กฟย.บางตะบูน,ก-7173  ,พบ.  ,ต.1-01-0849,NISSAN              ,กระบะบรรทุก 1 ตัน 4 ประตู                         ,Z20-T01266,FGD21-E40639 / FGD21SFX% DXA,12/1/2539,21,ป.3,เบนชิล 95
,,,,,,,,,,,
กฟส.ท่ายาง,80-9226 ,พบ.  ,ต.1-04-3395,MITSUBISHI          ,บรรทุก 6 ตัน                                      ,6D14-TC0464,FK455H-TC0464 / EK455H,22/8/2537,23,ป.3,ดีเชล
กฟส.ท่ายาง,81-0103 ,พบ.  ,ต.1-04-4274,ISUZU               ,บรรทุกเฉพาะกิจ(บริการ)                            ,4JB1-359932,NKR55EX1T-7102464,17/7/2540,20,ป.3,ดีเชล
กฟส.ท่ายาง,81-0322 ,พบ.  ,ต.1-09-0115,NISSAN              ,บรรทุกเฉพาะกิจ(บริการ)                            ,FD6-028043,CM80E-26970 / CM80E,23/3/2554,6,,ดีเชล
กฟส.ท่ายาง,81-1789 ,พบ.  ,ต.1-04-5061,ISUZU               ,กระบะบรรทุก 2 ตัน                                 ,4JB1-961586,NKR55E12Y-7105266,23/12/2546,14,ป.3,ดีเชล
กฟส.ท่ายาง,81-3556 ,พบ.  ,ต.1-04-1047,NISSAN              ,เครนแข็ง                                          ,PD6-057392,TF20G-00911,23/3/2554,6,ป.3,ดีเชล
กฟส.ท่ายาง,81-3959 ,พบ.  ,ต.1-04-1655,ISUZU               ,บรรทุกเฉพาะกิจ(บริการ)                            ,4BA1-618515,291483,16/8/2526,34,ป.3,ดีเชล
กฟส.ท่ายาง,81-4256 ,พบ.  ,ต.1-04-5761,HINO                ,กระบะบรรทุก 2 ตัน                                 ,N04C-TR12891,MNKAH04H204001217 /XZU303R-HBMLAT3,17/7/2555,5,ป.3,ดีเชล
กฟส.ท่ายาง,81-5310 ,พบ.  ,ต.1-04-6160,ISUZU               ,เครนพับ                                           ,6HK1-638217,MP1FTR34LAT001658 /FTR34LZL,21/10/2556,4,,ดีเชล
กฟส.ท่ายาง,กข-8356 ,พบ.  ,ต.1-01-1158,FORD                ,กระบะบรรทุก 1 ตัน 4 ประตูมีหลังคาครอบ             ,WLAT395664,MNBBSFD303W339699 / RANGER,3/9/2546,14,ป.3,ดีเชล
กฟส.ท่ายาง,กค-686  ,พบ.  ,ต.1-01-1323,FORD                ,กระบะบรรทุก 1 ตัน 4 ประตูมีหลังคาครอบ             ,WLAT438879,MNBBSFD303W366282 / RANGER,21/2/2547,13,ป.3,ดีเชล
กฟส.ท่ายาง,กฉ-2215 ,พบ.  ,ต.1-01-2234,MITSUBISHI          ,กระบะบรรทุก 1 ตัน 4 ประตูมีหลังคาครอบ             ,4D56UCEG3591,MMTJNKA40DD029252 /KA4TNJNUZRU,8/7/2556,4,,ดีเชล
กฟส.ท่ายาง,กฉ-2372 ,พบ.  ,ต.1-01-1616,ISUZU               ,กระบะบรรทุก 1 ตัน 4 ประตูมีหลังคาครอบ             ,4JH1AP8328,MP1TFR77H2T102601 /TFR77HYQW/S,25/10/2544,16,,ดีเชล
กฟส.ท่ายาง,กธฃ-870 ,พบ.  ,ต.1-20-,HONDA               ,จักรยานยนต์                                       ,C100SE-1082196,C100S-1082196 /DREAM EXCEL,29/1/2542,18,,เบนชิล
กฟส.ท่ายาง,ง-5294  ,พบ.  ,ต.1-20-1534,SUZUKI              ,จักรยานยนต์                                       ,A100-1045969,A100-324273,30/3/2554,6,,เบนชิล
กฟส.ท่ายาง,ง-5830  ,พบ.  ,ต.1-20-1519,SUZUKI              ,จักรยานยนต์                                       ,A100-1046037,A100-324294,30/3/2554,6,,เบนชิล
กฟส.ท่ายาง,ง-6930  ,พบ.  ,ต.1-20-1542,SUZUKI              ,จักรยานยนต์                                       ,E104-TH737992,BE11B-TH737992 /RC100,30/3/2554,6,,เบนชิล
กฟส.ท่ายาง,ช-3902  ,พบ.  ,ต.1-20-1525,SUZUKI              ,จักรยานยนต์                                       ,E104-TH855002,BE11B-TH855002 /RC100,30/3/2554,6,,เบนชิล
กฟส.ท่ายาง,ช-6566  ,พบ.  ,ต.1-20-2344,SUZUKI              ,จักรยานยนต์                                       ,E104-TH896248,BE11B-TH896248 /RC100,30/3/2554,6,,เบนชิล
กฟส.ท่ายาง,ช-6567  ,พบ.  ,ต.1-20-2337,SUZUKI              ,จักรยานยนต์                                       ,E104-TH896233,BE11B-TH896233 /RC100,30/3/2554,6,,เบนชิล
กฟส.ท่ายาง,ช-6568  ,พบ.  ,ต.1-20-2338,SUZUKI              ,จักรยานยนต์                                       ,E104-TH896238,BE11B-TH896238 /RC100,30/3/2554,6,,เบนชิล
กฟส.ท่ายาง,น-9729  ,พบ.  ,ต.1-03-0530,DATSAN              ,บรรทุกเฉพาะกิจ(บริการ)                            ,J16-307328J,G720C-36139,2/1/2528,32,ป.3,เบนชิล
กฟส.ท่ายาง,บ-9169  ,พบ.  ,ต.1-03-0069,MITSUBISHI          ,บรรทุกเฉพาะกิจ(บริการ)                            ,4D56T-AG3725,K14XDL-63719 / K14TUNSRUX,25/6/2536,24,ป.3,ดีเชล
กฟส.ท่ายาง,บ-9303  ,พบ.  ,ต.1-03-0750,NISSAN              ,กระบะบรรทุก 1 ตัน 2 ประตู                         ,Z16-T25880,CGD21-D13615,6/9/2536,24,ป.3,ดีเชล
กฟส.ท่ายาง,บบ-9655 ,พบ.  ,ต.1-04-1219,TOYOTA              ,กระบะบรรทุก 2 ตัน                                 ,419594,BU20-075688,29/1/2524,36,ป.3,ดีเชล
กฟส.ท่ายาง,บบ-9728 ,พบ.  ,ต.1-04-3515,ISUZU               ,กระบะบรรทุก 2 ตัน                                 ,4JB1-922401,NKR55EU1M-7146842,18/10/2537,23,ป.3,ดีเชล
กฟส.ท่ายาง,บพ-1966 ,พบ.  ,ต.1-04-1309,TOYOTA              ,กระบะบรรทุก 2 ตัน                                 ,420079,BU20-077258,27/3/2524,36,ป.3,ดีเชล
กฟส.ท่ายาง,บพ-414  ,พบ.  ,ต.1-04-0369,ISUZU               ,กระบะบรรทุก 2 ตัน                                 ,C240-116695,7889567,10/10/2518,42,ป.3,ดีเชล
กฟส.ท่ายาง,บพ-7626 ,พบ.  ,ต.1-04-2000,ISUZU               ,กระบะบรรทุก 2 ตัน                                 ,625498,311833,24/1/2527,33,ป.3,ดีเชล
,,,,,,,,,,,
กฟส.บ้านลาด,80-9352 ,พบ.  ,ต.1-04-2080,ISUZU               ,บรรทุก 6 ตัน                                      ,6BD1-375048,TXD55-1698889 /TXD55,28/3/2527,33,ป.3,ดีเชล
กฟส.บ้านลาด,80-9582 ,พบ.  ,ต.1-04-0789,NISSAN              ,เครนพับ                                           ,ND6-081368,UG780-36943 /UG780,29/7/2530,30,,ดีเชล
กฟส.บ้านลาด,81-1780 ,พบ.  ,ต.1-04-5060,ISUZU               ,บรรทุกเฉพาะกิจ(แก้ไฟ)                             ,4JB1-961584,NKR55E12Y-7105265,23/12/2546,14,ป.3,ดีเชล
กฟส.บ้านลาด,กค-684  ,พบ.  ,ต.1-01-1452,FORD                ,นั่งสองตอนท้ายบรรทุก                              ,WLAT445948,MNBBSFD304W370154 / RANGER,23/4/2547,13,ป.3,ดีเชล
กฟส.บ้านลาด,กทร-704 ,พบ.  ,ต.1-20-3249,SUZUKI              ,จักรยานยนต์                                       ,E104-TH264773,BE11B-TH264773 /RC100,23/2/2541,19,,เบนชิล
กฟส.บ้านลาด,กธก-205 ,พบ.  ,ต.1-20-,SUZUKI              ,จักรยานยนต์                                       ,A100-912677,A100-319971 /A100,14/8/2527,33,,เบนชิล
กฟส.บ้านลาด,กธน-905 ,พบ.  ,ต.1-20-1555,SUZUKI              ,จักรยานยนต์                                       ,A100-1045994,A100-324090 /A100,14/8/2527,33,,เบนชิล
กฟส.บ้านลาด,ฆ-7582  ,พบ.  ,ต.1-20-1526,HONDA               ,จักรยานยนต์                                       ,JX110E-G1415,JX110-G01415,9/2/2527,33,,เบนชิล
กฟส.บ้านลาด,ง-5293  ,กทม. ,ต.1-20-1533,SUZUKI              ,จักรยานยนต์                                       ,A100-912380,A100-320118,14/8/2527,33,,เบนชิล
กฟส.บ้านลาด,จ-1262  ,พบ.  ,ต.1-20-1544,SUZUKI              ,จักรยานยนต์                                       ,A100-618773,A100-301969 /A100,23/4/2533,27,,เบนชิล
กฟส.บ้านลาด,บน-2547 ,พบ.  ,ต.1-03-1041,NISSAN              ,กระบะบรรทุก 1 ตัน 2 ประตู                         ,Z20-T04977,FGD21-F27073,25/9/2539,21,ป.3,ดีเชล
กฟส.บ้านลาด,บบ-9416 ,พบ.  ,ต.1-04-4474,TOYOTA              ,กระบะบรรทุก 2 ตัน                                 ,14-1583214,BU101-9501488 /BU101,11/12/2541,19,ป.3,ดีเชล
กฟส.บ้านลาด,บบ-9417 ,พบ.  ,ต.1-04-2498,ISUZU               ,กระบะบรรทุก 2 ตัน                                 ,374352,7903579 /NKR55EU1,23/11/2532,28,ป.3,ดีเชล
กฟส.บ้านลาด,บพ-409  ,พบ.  ,ต.1-04-0556,NISSAN              ,กระบะบรรทุก 2 ตัน                                 ,TD27-424731,QC340-A00708,22/7/2520,40,ป.3,ดีเชล
กฟส.บ้านลาด,บพ-410  ,พบ.  ,ต.1-04-1999,ISUZU               ,กระบะบรรทุก 2 ตัน                                 ,625513,311849,24/1/2527,33,ป.3,ดีเชล
,,,,,,,,,,,
กฟส.เขาย้อย,1ฒภ-7724,กทม. ,ต.1-04-0000,ISUZU               ,กระบะบรรทุก 1 ตัน                                 ,4JK1N8438,MP1TFR86JFG083569 /TFR86JEMN3,4/1/2559,1,ป.3,ดีเชล
กฟส.เขาย้อย,81-0043 ,พบ.  ,ต.1-04-4245,MITSUBISHI          ,เครนพับ                                           ,6D14-TC1586,FK455H-1586,3/6/2540,20,ป.3,ดีเชล
กฟส.เขาย้อย,81-3547 ,พบ.  ,ต.1-04-5469,HINO                ,กระบะบรรทุก 2 ตัน                                 ,N04C-TR10742,MNKAH04H304000562 /XZU303R-HBMLAT3,5/7/2553,7,ป.3,ดีเชล
กฟส.เขาย้อย,81-3589 ,พบ.  ,ต.1-04-2373,HINO                ,บรรทุก 6 ตัน                                      ,EH100-99288,KR320-17601,7/2/2528,32,ป.3,ดีเชล
กฟส.เขาย้อย,81-5512 ,พบ.  ,ต.1-04-6326,HINO                ,กระบะบรรทุก 2 ตัน                                 ,N04C-VBH14144,MNKACL1H902001571 / XZU600R-HKMOLT3,7/10/2557,3,,ดีเชล
กฟส.เขาย้อย,81-5673 ,พบ.  ,ต.1-04-5760,HINO                ,บรรทุกเฉพาะกิจ(แก้ไฟ)                             ,N04C-TR12888,MNKAH04H904001215 / XZU303R-HBMLAT3,24/3/2554,6,,ดีเชล
กฟส.เขาย้อย,กก-5839 ,พบ.  ,ต.1-02-0528,NISSAN              ,เก๋งสองตอน                                        ,GA16-668690B,BEAB13-B29417 / SENTRA,27/7/2537,23,ป.3,เบนชิล 95
กฟส.เขาย้อย,กค-681  ,พบ.  ,ต.1-01-0751,FORD                ,นั่งสองตอนท้ายบรรทุก                              ,WLAT446984,MMBBSRD304W370844 /RANGER,23/4/2547,13,ป.3,ดีเชล
กฟส.เขาย้อย,กฉ-2231 ,พบ.  ,ต.1-01-2233,MITSUBISHI          ,นั่งสองตอนท้ายบรรทุก                              ,4d56uceg3594,mmtjnka40dd029307 / ka4tnjnuzru,7/8/2556,4,,ดีเชล
กฟส.เขาย้อย,กทร-706 ,พบ.  ,ต.1-20-3248,SUZUKI              ,จักรยานยนต์                                       ,E104-TH264777,BE11B-TH264777 / RC100,23/2/2541,19,,เบนชิล
กฟส.เขาย้อย,บบ.8849 ,พบ.  ,ต.1-04-2724,ISUZU               ,กระบะบรรทุก 2 ตัน                                 ,4JB1-585489,NKR55EU1-M-7105387 / NKR55EU1,22/7/2535,25,ป.3,ดีเชล
กฟส.เขาย้อย,บบ-9729 ,พบ.  ,ต.1-04-4012,ISUZU               ,กระบะบรรทุก 2 ตัน                                 ,4JBI-245214,NKR55EX1T-7100857,8/11/2539,21,ป.3,ดีเชล
กฟส.เขาย้อย,บพ-482  ,พบ.  ,ต.1-04-4765,ISUZU               ,กระบะบรรทุก 2 ตัน                                 ,4JB1-830592,NKR55E12Y-7103282 / NKR55E12Y,13/2/2545,15,,ดีเชล
กฟส.เขาย้อย,บพ-483  ,พบ.  ,ต.1-04-5002,ISUZU               ,กระบะบรรทุก 2 ตัน                                 ,4JB1-962219,NKR55E12Y-7105344,19/12/2546,14,ป.3,ดีเชล
,,,,,,,,,,,
กฟจ.รบ,80-8439 ,รบ.  ,ต.1-04-0347,ISUZU               ,บรรทุก 6 ตัน                                      ,6BD1-353622,1648861 /กระบะบรรทุก 6 ตัน,28/7/2518,42,,ดีเชล
กฟจ.รบ,80-8440 ,รบ.  ,ต.1-04-1404,ISUZU               ,บรรทุก 4 ตัน                                      ,117024,7768771 /กระบะบรรทุก,28/6/2525,35,,ดีเชล
กฟจ.รบ,81-5215 ,รบ.  ,ต.1-04-3688,MITSUBISHI          ,เครนพับ                                           ,6D1A-TC0567,FK455H-TC0567,7/3/2538,22,,ดีเชล
กฟจ.รบ,81-5387 ,รบ.  ,ต.1-04-3630,ISUZU               ,เครนพับ                                           ,4JB1-904855,NKR55EU5M-7145384 /NKR,24/1/2538,22,,ดีเชล
กฟจ.รบ,81-5653 ,รบ.  ,ต.1-04-3765,NISSAN              ,บรรทุก 6 ตัน                                      ,PE6-183159,TFA 430 K-00117,16/6/2538,22,,ดีเชล
กฟจ.รบ,81-6064 ,รบ.  ,ต.1-09-0227,MITSUBISHI          ,ขุดเจาะ                                           ,6 D 14 - 257961,FK 455 F-TD 0744,20/9/2537,23,,ดีเชล
กฟจ.รบ,81-7856 ,รบ.  ,ต.1-04-4275,ISUZU               ,กระบะบรรทุก 2 ตัน                                 ,,,17/7/2540,20,,ดีเชล
กฟจ.รบ,81-7935 ,รบ.  ,ต.1-04-2035,HINO                ,เครนพับ                                           ,,,10/11/2526,34,,ดีเชล
กฟจ.รบ,81-7961 ,รบ.  ,ต.1-04-1848,ISUZU               ,บรรทุก 6 ตัน                                      ,,,8/12/2526,34,,ดีเชล
กฟจ.รบ,82-2412 ,รบ.  ,ต.1-04-5144,ISUZU               ,บรรทุก 4 ตัน/ฮอทไลน์                              ,,,29/4/2547,13,,ดีเชล
กฟจ.รบ,82-3418 ,รบ.  ,ต.1-09-0491,ISUZU               ,กระเช้าแก้ไฟ                                      ,,,1/3/2548,12,,ดีเชล
กฟจ.รบ,82-3423 ,รบ.  ,ต.1-04-3183,NISSAN              ,บรรทุก 6 ตัน                                      ,,,10/3/2537,23,,ดีเชล
กฟจ.รบ,82-5257 ,รบ.  ,ต.1-09-0629,ISUZU               ,กระเช้าฮอทไลน์ 22 - 115 Kv                        ,6HH1-418155,FTR33H24-7000783 /FTR33H2E,28/11/2550,10,,ดีเชล
กฟจ.รบ,82-7936 ,รบ.  ,ต.1-04-5723,ISUZU               ,กระบะบรรทุก 2 ตัน                                 ,4JJ1-942983,MP1NLR85E9T103530 / NLR85E1GAH,1/3/2554,6,,ดีเชล
กฟจ.รบ,82-8156 ,รบ.  ,ต.1-04-5753,HINO                ,บรรทุกเฉพาะกิจ(แก้ไฟ)                             ,NO4C-TR12827,MNKAH04HX040001174 / XZU303R-HBMLAT3,14/3/2554,6,,ดีเชล
กฟจ.รบ,82-8157 ,รบ.  ,ต.1-04-5754,HINO                ,บรรทุกเฉพาะกิจ(แก้ไฟ)                             ,NO4C-TR12795,MNKAH04H604001155 / XZU303R-HBMLAT3,14/2/2554,6,,ดีเชล
กฟจ.รบ,82-8618 ,รบ.  ,ต.1-04-4780,ISUZU               ,กระบะบรรทุก 2 ตัน                                 ,4JB1 - 868390,NKR55E12Y-7103826 /NKR55E12,23/7/2545,15,,ดีเชล
กฟจ.รบ,83-2291 ,รบ.  ,ต.1-01-6588,ISUZU               ,กระบะบรรทุก 2 ตัน                                 ,4JJ1-NU1282,MP1NMR85EFT101905 /NMR85XXXS,10/6/2559,1,,ดีเชล
กฟจ.รบ,กค 2055 ,รบ.  ,ต.1-01-1006,MITSUBISHI          ,เก๋งสองตอน                                        ,4G13NKTAC666,LANCFR,11/9/2539,21,,เบนชิล อื่น ๆ
กฟจ.รบ,กค-2055 ,รบ.  ,ต.1-01-1006,MITSUBISHI          ,เก๋งสองตอน                                        ,,แลนเซอร์ 1.3 EL,11/9/2539,21,,เบนชิล
กฟจ.รบ,กง-4104 ,รบ.  ,ต.1-01-0646,NISSAN              ,นั่งสองตอนท้ายบรรทุก                              ,,,17/10/2537,23,,เบนชิล
กฟจ.รบ,กง-6403 ,รบ.  ,ต.1-01-1315,FORD                ,นั่งสองตอนท้ายบรรทุก                              ,WLAT439353,MNBBSFD303W366571 / RANGER,21/2/2547,13,ป.3,ดีเชล
กฟจ.รบ,กจ-6760 ,รบ.  ,ต.1-01-1997,FORD                ,นั่งสองตอนท้ายบรรทุก                              ,,RANGER,29/5/2550,10,,ดีเชล
กฟจ.รบ,กบ-2305 ,รบ.  ,ต.1-01-1900,TOYOTA              ,เก๋งสองตอน                                        ,3ZZ4170794,MR053ZEC107027708 /COROLLA,31/3/2546,14,,เบนชิล อื่น ๆ
กฟจ.รบ,นข-3396 ,รบ.  ,ต.1-01-0751,TOYOTA              ,ตู้นั่ง 4 ตอน                                     ,,,24/8/2538,22,,ดีเชล
กฟจ.รบ,บ-6835  ,พบ.  ,ต.1-03-0301,TOYOTA              ,กระบะบรรทุก 1 ตัน                                 ,,,9/7/2535,25,,เบนชิล
กฟจ.รบ,บจ-2008 ,รบ.  ,ต.1-03-0321,TOYOTA              ,กระบะบรรทุก 1 ตัน                                 ,,,28/6/2526,34,,เบนชิล
กฟจ.รบ,บท-4546 ,รบ.  ,ต.1-03-0309,TOYOTA              ,กระบะบรรทุก 1 ตัน                                 ,,,28/6/2526,34,,เบนชิล
กฟจ.รบ,บย-7322 ,รบ.  ,ต.1-04-0438,DATSAN              ,กระบะบรรทุก 1 ตัน                                 ,Z16-004725W,G720-A54690,27/1/2527,33,,เบนชิล
กฟจ.รบ,บว-8628 ,รบ.  ,ต.1-04-4780,ISUZU               ,กระบะบรรทุก 2 ตัน                                 ,,,23/7/2545,15,,ดีเชล
กฟจ.รบ,บษ - 147,รบ.  ,ต.1-04-3516,ISUZU               ,กระบะบรรทุก 2 ตัน                                 ,4JB1 - 922399,NKR 55 EU1M - 7146841,18/10/2537,23,,ดีเชล
กฟจ.รบ,บษ-2886 ,รบ.  ,ต.1-04-2651,ISUZU               ,กระบะบรรทุก 2 ตัน                                 ,4JB1-586212,NKR55EU1M-7105486 /NKR55EU1,27/5/2535,25,,ดีเชล
กฟจ.รบ,ป-6217  ,รบ.  ,ต.1-03-0599,NISSAN              ,กระบะบรรทุก 1 ตัน                                 ,,,8/12/2534,26,,ดีเชล
,,,,,,,,,,,
กฟส.ปากท่อ,80-8946 ,รบ.  ,ต.1-04-1980,ISUZU               ,บรรทุก 6 ตัน                                      ,6BD1-367337,1697818 /ISUZU,18/9/2532,28,,ดีเชล
กฟส.ปากท่อ,81-6063 ,รบ.  ,ต.1-04-3872,ISUZU               ,บรรทุกเฉพาะกิจ(แก้ไฟ) 2 ตัน                       ,11B-1384308,BU61-8005562 /TOYOTA,17/11/2538,22,,ดีเชล
